$gaspirun -N /scratch/fuchs/aglippert/zhuz/gaspi/gaspi-benchmark/programs/gaspi-benchmark/build/gaspi-benchmark
#------------------------------------------------------------
# GASPI Benchmark Suite by Florian Beenen
# Date:  2022-09-07 12:59:43
# Maximum repetitions: 1024
# Minimum repetitions: 10
# Block Aggregation: 1
# Warmup runs: 10%
# Repetition reduction threshold: 65536 bytes
# Start transfer size: 1 bytes
# Last transfer size: 4194304 bytes
# Transfer size increase factor: 2
# Average results over all nodes: false
# Grid Benchmark - Grid start size: 16
# Grid Benchmark - Grid last size: 2048
# Grid Benchmark - Grid size increase factor: 2
# Grid Benchmark - Iterations on one grid: 128
# Grid Benchmark - Repetition reduce threshold after grid size: 512
# Grid Benchmark - Minimum repetitions: 10
# Grid Benchmark - Maximum repetitions: 128
# Grid Benchmark - Processing Threads: 1
# Number of processes: 4
#------------------------------------------------------------

# List of Benchmarks to run:
# gbs_ubench_ping_pong
# gbs_ubench_put_single_udir
# gbs_ubench_put_single_bdir
# gbs_ubench_put_all_udir
# gbs_ubench_put_all_bdir
# gbs_ubench_put_solo_single_udir
# gbs_ubench_put_aggregate_single_udir
# gbs_ubench_get_single_udir
# gbs_ubench_get_single_bdir
# gbs_ubench_get_all_udir
# gbs_ubench_get_all_bdir
# gbs_ubench_barrier
# gbs_ubench_twosided_ping_pong
# gbs_ubench_allreduce_min
# gbs_ubench_allreduce_max
# gbs_ubench_allreduce_sum
# gbs_ubench_atomic_fetch_add_single
# gbs_ubench_atomic_fetch_add_all
# gbs_ubench_atomic_compare_swap_single
# gbs_ubench_atomic_compare_swap_all
# gbs_ubench_noti_single_udir
# gbs_ubench_noti_single_bdir
# gbs_ubench_noti_all_udir
# gbs_ubench_noti_all_bdir
# gbs_ubench_put_true_exchange
# gbs_ubench_get_true_exchange
# gbs_abench_grid_stencil

#------------------------------------------------------------
# Benchmarking gbs_ubench_ping_pong
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1048576   32              623.61         1664.97        667.12         4715.40
    2097152   16              1269.89        1344.74        1295.96        4854.65
    4194304   10              2670.28        6023.97        3283.10        3832.63

#------------------------------------------------------------
# Benchmarking gbs_ubench_barrier
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            0.59           15.46          3.03           330289.34

#------------------------------------------------------------
# Benchmarking gbs_ubench_twosided_ping_pong
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            22.53          2477.86        67.83          0.03
    2         1024            19.15          2317.30        42.54          0.09
    4         1024            18.66          1915.76        25.46          0.31
    8         1024            18.57          2283.85        28.88          0.55
    16        1024            18.68          2367.44        36.98          0.87
    32        1024            18.82          2401.91        37.49          1.71
    64        1024            19.33          2292.36        28.01          4.57
    128       1024            19.21          1415.79        21.28          12.03
    256       1024            19.52          2307.40        24.24          21.12
    512       1024            19.31          2298.55        26.48          38.67
    1024      1024            18.35          2356.50        39.27          52.15
    2048      1024            20.80          2090.80        31.00          132.12
    4096      1024            23.20          2349.91        44.38          184.57
    8192      1024            24.54          2317.44        37.58          436.02
    16384     1024            26.98          2467.35        35.58          921.01
    32768     1024            31.72          2181.12        38.53          1701.09
    65535     1024            41.51          55.52          42.54          3080.82

#------------------------------------------------------------
# Benchmarking gbs_ubench_allreduce_min
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    4         1024            5.95           20.47          6.96           143580.82
    8         1024            5.97           12.25          6.74           148444.09
    16        1024            5.98           12.95          6.78           147504.76
    32        1024            6.06           20.06          6.94           144074.30
    64        1024            6.18           13.16          7.13           140202.35
    128       1024            6.33           12.84          7.11           140720.58
    256       1024            6.66           13.04          7.33           136381.46
    512       1024            7.06           22.04          8.22           121700.06
    1020      1024            7.93           14.16          8.93           111976.16

#------------------------------------------------------------
# Benchmarking gbs_ubench_allreduce_max
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    4         1024            5.98           20.12          7.32           136603.09
    8         1024            6.02           24.80          7.24           138141.45
    16        1024            5.95           20.15          6.92           144495.48
    32        1024            6.06           12.11          6.89           145229.09
    64        1024            6.17           12.87          7.00           142831.50
    128       1024            6.37           11.32          6.97           143550.56
    256       1024            6.63           17.32          7.34           136214.54
    512       1024            7.10           20.64          8.00           124939.70
    1020      1024            7.95           13.85          8.73           114601.41

#------------------------------------------------------------
# Benchmarking gbs_ubench_allreduce_sum
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    4         1024            6.04           37.15          7.81           128091.97
    8         1024            6.18           20.58          7.13           140231.92
    16        1024            6.15           20.63          7.03           142278.90
    32        1024            6.16           75.09          7.65           130741.94
    64        1024            6.16           19.83          7.32           136571.01
    128       1024            6.36           73.08          7.35           136035.10
    256       1024            6.70           18.13          7.67           130440.86
    512       1024            7.00           18.18          7.76           128801.45
    1020      1024            7.70           20.68          8.58           116491.31

#------------------------------------------------------------
# Benchmarking gbs_ubench_atomic_fetch_add_single
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            3.36           7.02           3.52           284317.77

#------------------------------------------------------------
# Benchmarking gbs_ubench_atomic_fetch_add_all
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            3.14           17.13          6.62           150965.49

#------------------------------------------------------------
# Benchmarking gbs_ubench_atomic_compare_swap_single
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            3.36           16.22          3.62           276064.95

#------------------------------------------------------------
# Benchmarking gbs_ubench_atomic_compare_swap_all
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            3.73           18.89          6.77           147622.99

#------------------------------------------------------------
# Benchmarking gbs_ubench_noti_single_udir
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            4.29           14.17          4.42           226252.54

#------------------------------------------------------------
# Benchmarking gbs_ubench_noti_single_bdir
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            4.36           17.52          6.66           150146.96

#------------------------------------------------------------
# Benchmarking gbs_ubench_noti_all_udir
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            4.30           9.94           4.43           225882.27

#------------------------------------------------------------
# Benchmarking gbs_ubench_noti_all_bdir
#------------------------------------------------------------
    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Ops[1/sec]
    1024            4.45           18.22          6.60           151558.14

#------------------------------------------------------------
# Benchmarking gbs_ubench_put_true_exchange
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            31.98          83.91          33.61          0.03
    2         1024            31.29          232.24         38.50          0.05
    4         1024            30.00          487.93         40.27          0.10
    8         1024            31.24          79.95          33.54          0.24
    16        1024            23.78          107.92         33.98          0.47
    32        1024            31.72          85.17          34.73          0.92
    64        1024            4.83           187.17         35.68          1.79
    128       1024            29.74          211.66         34.75          3.68
    256       1024            30.91          74.12          33.38          7.67
    512       1024            5.17           645.27         34.70          14.76
    1024      1024            30.95          394.87         34.73          29.49
    2048      1024            30.72          446.95         35.81          57.18
    4096      1024            31.96          178.54         33.96          120.60
    8192      1024            31.72          37.45          33.03          248.00
    16384     1024            31.08          52.49          33.16          494.05
    32768     1024            31.88          49.22          33.25          985.61
    65536     512             31.96          42.28          33.04          1983.57
    131072    256             31.87          40.59          33.11          3958.86
    262144    128             53.72          68.39          64.61          4057.27
    524288    64              94.85          851.76         120.77         4341.36
    1048576   32              177.26         191.18         188.21         5571.20
    2097152   16              347.44         355.18         349.81         5995.19
    4194304   10              679.26         684.88         682.19         6148.33

#------------------------------------------------------------
# Benchmarking gbs_ubench_get_true_exchange
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            32.03          53.27          34.63          0.03
